desarrollo,colonia,m2_interiores,m2_totales,m2_jardin,m2_terraza,estacionamientos,eje,precio_listado,precio_cerrado,descuento_pct,fecha_creacion,fecha_firma,anio_firma,mes_firma,dias_creacion_a_firma,precio_m2
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2794126.67,2802914.77,1.5,11/13/2020,4/6/2022,2022,4,509,18862.14515477793
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2763347.88,2749531.14,0.5,11/13/2020,4/11/2022,2022,4,514,24905.17336956522
Alondra,Altos Juriquilla,165.4,196.5,31.1,0,2,Horizontal,4189449,4147554.51,1,2/17/2022,4/12/2022,2022,4,54,25075.90392986699
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2898186.68,2836232.01,2.5,11/13/2020,4/28/2022,2022,4,531,19333.55153374233
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2923033.8,2923033.8,0,11/13/2020,5/6/2022,2022,5,539,19670.483176312246
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2839847.52,2768851.33,2.5,11/13/2020,5/6/2022,2022,5,539,18874.242194955696
Loretta,Altos Juriquilla,138.8,205.3,66.5,0,2,Horizontal,3296889.08,3307389.08,0,11/13/2020,4/29/2022,2022,4,532,23828.45158501441
Amara Grand,Altos Juriquilla,190.7,227.8,37.1,0,2,Horizontal,4309796.39,4137404.53,4,7/9/2018,5/16/2022,2022,5,1407,21695.881122181436
Serena,Altos Juriquilla,151.3,185.6,34.3,0,2,Horizontal,3246607.87,3246607.87,0,4/17/2020,4/29/2022,2022,4,742,21458.08241903503
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2861947.64,2819018.42,1.5,11/13/2020,5/6/2022,2022,5,539,25534.58713768116
Serena,Altos Juriquilla,151.3,186.4,35.1,0,2,Horizontal,3248132.96,3259130.97,0,4/17/2020,5/16/2022,2022,5,759,21540.852412425644
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2822067.94,2868667.94,0,11/13/2020,4/30/2022,2022,4,533,19304.62947510094
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2933018.82,2933018.82,0,11/13/2020,5/11/2022,2022,5,544,19737.677119784657
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2822067.94,2854167.94,0,11/13/2020,5/9/2022,2022,5,542,19207.052086137282
Loretta,Altos Juriquilla,110.4,221.5,111.1,0,2,Horizontal,2939033.07,2905447.57,1.5,11/13/2020,5/7/2022,2022,5,540,26317.459873188403
Loretta,Altos Juriquilla,138.8,205.3,66.5,0,2,Horizontal,3296889.08,3307389.08,0,11/13/2020,5/23/2022,2022,5,556,23828.45158501441
Loretta,Altos Juriquilla,136.1,194.1,0,58,2,Horizontal,2377910.2,2303204.24,4.5,11/13/2020,4/10/2021,2021,4,148,16922.881998530494
Serena,Altos Juriquilla,151.3,191.2,39.9,0,2,Horizontal,2889000,2889000,0,4/17/2020,4/14/2021,2021,4,362,19094.51421017845
Serena,Altos Juriquilla,151.3,186.9,35.6,0,2,Horizontal,2983551.7,2953716.18,1,4/17/2020,4/15/2021,2021,4,363,19522.248380700596
Amara Grand,Altos Juriquilla,179.5,207.8,28.3,0,2,Horizontal,3170113.63,3170113.63,0,7/9/2018,4/14/2021,2021,4,1010,17660.800167130918
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,2812364.16,2820864.16,0,11/13/2020,4/13/2021,2021,4,151,20323.228818443804
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2536160.19,2409352.18,5,11/13/2020,4/13/2021,2021,4,151,16213.675504710634
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2746611.19,2705412.02,1.5,11/13/2020,4/16/2021,2021,4,154,18206.002826379543
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3711118.45,3711118.45,0,7/9/2018,4/24/2021,2021,4,1020,18094.190394929305
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2480183.73,2480183.73,0,11/13/2020,4/22/2021,2021,4,160,22465.43233695652
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,2812364.16,2820864.16,0,11/13/2020,4/18/2021,2021,4,156,20323.228818443804
Serena,Altos Juriquilla,221.6,239.7,18.1,0,2,Horizontal,4089146.13,3966471.75,3,4/17/2020,5/6/2021,2021,5,384,17899.240749097473
Loretta,Altos Juriquilla,136.1,194.1,0,58,2,Horizontal,2549984.7,2549984.7,0,11/13/2020,5/5/2021,2021,5,173,18736.11094783248
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3700365.08,3644859.6,1.5,7/9/2018,4/20/2021,2021,4,1016,17771.134080936128
Serena,Altos Juriquilla,180,210.7,30.7,0,2,Horizontal,3382501.05,3355441.04,0.8,4/17/2020,5/8/2021,2021,5,386,18641.339111111112
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2480183.73,2442980.97,0,11/13/2020,4/30/2021,2021,4,168,22128.45081521739
Serena,Altos Juriquilla,180,202.6,22.6,0,2,Horizontal,3350013.27,3350013.27,0,4/17/2020,4/30/2021,2021,4,378,18611.184833333333
Loretta,Altos Juriquilla,110.4,185.1,74.7,0,2,Horizontal,2480183.73,2496183.73,0,11/13/2020,5/5/2021,2021,5,173,22610.359873188405
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,2812364.16,2778678.7,1.5,11/13/2020,5/8/2021,2021,5,176,20019.298991354466
Amara Grand,Altos Juriquilla,238.8,301.9,63.1,0,2,Horizontal,4250408.22,4250408.22,0,7/9/2018,4/30/2021,2021,4,1026,17799.029396984923
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2572153.79,2598653.79,0,11/13/2020,5/15/2021,2021,5,183,17714.06809815951
Loretta,Altos Juriquilla,148.6,194.6,0,46,2,Horizontal,2556050.18,2550209.43,1.5,11/13/2020,5/8/2021,2021,5,176,17161.570861372813
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,2812364.16,2764616.88,2,11/13/2020,5/17/2021,2021,5,185,19917.989048991352
Loretta,Altos Juriquilla,138.8,193.5,54.7,0,2,Horizontal,2812364.16,2838364.16,0,11/13/2020,5/21/2021,2021,5,189,20449.309510086456
Amara Grand,Altos Juriquilla,190.7,241.7,51,0,2,Horizontal,4061698.52,4061698.52,0,7/9/2018,5/20/2021,2021,5,1046,21298.891033036183
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3711118.45,3711118.45,0,7/9/2018,5/29/2021,2021,5,1055,18094.190394929305
Amara Grand,Altos Juriquilla,207.2,239.1,31.9,0,2,Horizontal,3658718.91,3475782.96,5,7/9/2018,5/21/2021,2021,5,1047,16775.014285714286
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2901271.04,2901271.04,0,11/13/2020,5/28/2021,2021,5,196,19776.898704839812
Loretta,Altos Juriquilla,146.7,214.7,0,68,2,Horizontal,2552138.49,2552138.49,0,11/13/2020,5/31/2021,2021,5,199,17396.99038854806
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3748229.63,3725947.33,1,7/9/2018,5/31/2021,2021,5,1057,18166.491126279863
Serena,Altos Juriquilla,121.5,159.3,37.8,0,2,Horizontal,2637205.5,2644295.5,0,4/17/2020,5/29/2021,2021,5,407,21763.748971193414
Serena,Altos Juriquilla,165.4,197.7,32.3,0,2,Horizontal,3223400.34,3265700.34,0,4/17/2020,5/31/2021,2021,5,409,19744.258403869408
Serena,Altos Juriquilla,180,209.8,29.8,0,2,Horizontal,3380659.81,3380659.81,0,4/17/2020,5/31/2021,2021,5,409,18781.44338888889
Amara Grand,Altos Juriquilla,205.1,255,49.9,0,2,Horizontal,3748229.63,3669723.89,2.5,7/9/2018,5/31/2021,2021,5,1057,17892.364163822527
Amara Grand,Altos Juriquilla,179.5,217.2,37.7,0,2,Horizontal,3473824.19,3439085.95,1,7/9/2018,5/31/2021,2021,5,1057,19159.253203342618
